Gene	logFC	P.Value
BC057984	1.3671884	4.34E-04
NM_001039559	1.041812	6.48E-04
AK034506	1.1954427	6.99E-04
XM_893329	1.2699759	7.03E-04
XM_985248	1.802785	9.52E-04
XM_890988	1.0165	1.09E-03
BC031707	1.0465812	2.35E-03
NM_028959	1.1280449	2.62E-03
BC046308	1.0977772	7.00E-03
NM_010452	1.1529153	7.73E-03
AK035333	1.0073671	2.64E-02
NM_001012326	-7.2789775	5.29E-16
NM_001034901	-5.9797765	1.76E-15
XM_982472	-4.3164271	3.49E-15
NM_145457	-2.9848418	3.72E-15
BC040255	-4.414898	6.54E-15
BC020004	-2.6469649	6.85E-15
BC019726	-3.0423977	7.59E-15
AY040842	-3.3094517	1.63E-14
XM_001002932	-2.8718203	3.04E-14
XM_001000526	-4.6733426	3.44E-14
XM_981541	-4.2895035	3.91E-14
BC051199	-3.8050368	4.45E-14
AK156334	-2.9639112	8.80E-14
BC058359	-2.7366415	1.33E-13
AK153779	-3.3115204	1.36E-13
NM_009082	-2.952249	1.44E-13
XM_888056	-3.0740906	4.77E-13
AK009249	-2.6893511	8.15E-13
BC004075	-2.1031013	1.06E-12
XM_148595	-3.1666085	1.35E-12
XM_982568	-2.4969822	1.61E-12
AK151310	-2.6324387	2.32E-12
NM_029880	-3.0616372	3.30E-12
BC099608	-3.0470258	5.18E-12
XM_888594	-2.8725939	7.28E-12
NM_001033851	-3.0357884	8.77E-12
AK137318	-1.7032313	8.86E-12
NM_009180	-2.0889278	1.02E-11
XM_001002410	-3.9661253	2.43E-11
NM_030266	-1.9206753	2.49E-11
NM_011079	-1.9052414	2.95E-11
AK137058	-2.3661499	3.04E-11
NM_145150	-1.8234802	3.26E-11
AK140614	-3.3815482	3.69E-11
NM_173861	-2.5897877	4.10E-11
NM_009037	-2.777278	5.48E-11
AK053693	-2.885682	5.85E-11
BC106124	-1.9275217	8.32E-11
AK038800	-2.3740573	9.42E-11
XM_979286	-3.3648311	1.11E-10
NM_172832	-2.3265653	1.13E-10
NM_001002239	-2.0149611	1.34E-10
NM_001013381	-1.5967936	1.52E-10
NM_001033284	-2.1310011	1.55E-10
NM_011027	-1.4075037	1.69E-10
BC060677	-2.2190974	1.84E-10
XM_979321	-3.2527485	2.55E-10
XM_619357	-1.9169966	2.60E-10
XM_984535	-1.485832	3.15E-10
NM_001029842	-1.3938077	4.26E-10
AK161301	-1.3777391	4.29E-10
AK157532	-1.9532845	4.44E-10
XM_974103	-2.2347998	4.46E-10
AK157890	-2.3958746	4.94E-10
AK133999	-1.7928781	5.31E-10
AK133558	-1.9331412	5.38E-10
NM_172851	-2.6471566	5.92E-10
XM_622239	-1.6994596	6.67E-10
AK033014	-1.4539284	8.18E-10
AK082664	-1.6874122	8.43E-10
AK154211	-1.3147146	1.18E-09
BC052821	-1.6484055	1.20E-09
XM_906423	-2.0053448	1.43E-09
AY512953	-2.3516896	1.53E-09
NM_010569	-1.2110076	1.55E-09
NM_013925	-1.190091	1.57E-09
NM_001025307	-1.2768554	1.61E-09
NM_001001177	-1.9000064	1.68E-09
NM_009366	-1.0198464	1.74E-09
AK019760	-1.6968445	1.83E-09
NM_177298	-1.3292533	1.87E-09
BC059914	-2.5800952	2.05E-09
AK148430	-1.6429235	2.19E-09
BC070408	-1.1783793	2.31E-09
BC059216	-1.4764019	2.43E-09
XM_001003220	-2.4874068	2.98E-09
NM_009464	-1.8499639	3.48E-09
AK161246	-1.5500668	3.59E-09
AK049327	-2.335688	3.89E-09
XM_897537	-1.6383466	4.07E-09
AK018112	-1.5425807	4.86E-09
AK086708	-1.6911512	5.69E-09
NM_139310	-2.254723	6.35E-09
